# x z
8.860000 0.000000
8.777175 0.756571
8.537689 1.475205
8.167094 2.119866
7.703547 2.658227
7.192016 3.063294
6.677722 3.314755
6.200000 3.400000
5.787638 3.314755
5.456481 3.063294
5.209589 2.658227
5.039769 2.119865
4.933814 1.475204
4.877464 0.756571
4.860000 0.000000
4.877464 -0.756572
4.933814 -1.475205
5.039769 -2.119866
5.209589 -2.658228
5.456481 -3.063295
5.787638 -3.314755
6.200000 -3.400000
6.677722 -3.314755
7.192016 -3.063294
7.703548 -2.658226
8.167095 -2.119864
8.537689 -1.475205
8.777175 -0.756571
